pa	ぱ	
pd	ぺん	
pe	ぺ	
pg;	ぴゅい	
pga	ぴゃ	
pgd	ぴぇん	
pge	ぴぇ	
pgh	ぴゅう	
pgi	ぴぃ	
pgj	ぴゅん	
pgk	ぴぃん	
pgl	ぴょん	
pgn	ぴゃん	
pgo	ぴょ	
pgp	ぴょう	
pgq	ぴゃい	
pgu	ぴゅ	
pgw	ぴぇい	
pgz	ぴゃん	
ph	ぷう	
pi	ぴ	
pj	ぷん	
pk	ぴん	
pl	ぽん	
pn	ぱん	
po	ぽ	
pp	ぽう	
pq	ぱい	
pu	ぷ	
pw	ぺい	
py;	ぴゅい	
pya	ぴゃ	
pyd	ぴぇん	
pye	ぴぇ	
pyh	ぴゅう	
pyi	ぴぃ	
pyj	ぴゅん	
pyk	ぴぃん	
pyl	ぴょん	
pyn	ぴゃん	
pyo	ぴょ	
pyp	ぴょう	
pyq	ぴゃい	
pyu	ぴゅ	
pyw	ぴぇい	
pyz	ぴゃん	
pz	ぱん	
q	ん	
r		r
r;	るい	
ra	ら	
rd	れん	
re	れ	
rg;	りゅい	
rga	りゃ	
rgd	りぇん	
rge	りぇ	
rgh	りゅう	
rgi	りぃ	
rgj	りゅん	
rgk	りぃん	
rgl	りょん	
rgn	りゃん	
rgo	りょ	
rgp	りょう	
rgq	りゃい	
rgu	りゅ	
rgw	りぇい	
rgz	りゃん	
rh	るう	
ri	り	
rj	るん	
rk	りん	
rl	ろん	
rn	らん	
ro	ろ	
rp	ろう	
rq	らい	
ru	る	
rw	れい	
ry;	りゅい	
rya	りゃ	
ryd	りぇん	
rye	りぇ	
ryh	りゅう	
ryi	りぃ	
ryj	りゅん	
ryk	りぃん	
ryl	りょん	
ryn	りゃん	
ryo	りょ	
ryp	りょう	
ryq	りゃい	
ryu	りゅ	
ryw	りぇい	
ryz	りゃん	
rz	らん	
s		s
s;	すい	
sa	さ	
sd	せん	
se	せ	
sg;	しゅい	
sga	しゃ	
sgd	しぇん	
sge	しぇ	
sgh	しゅう	
sgi	しぃ	
sgj	しゅん	
sgk	しぃん	
sgl	しょん	
sgn	しゃん	
sgo	しょ	
sgp	しょう	
sgq	しゃい	
sgu	しゅ	
sgw	しぇい	
sgz	しゃん	
sh	すう	
si	し	
sj	すん	
sk	しん	
sl	そん	
sm	さま	
sn	さん	
so	そ	
sp	そう	
sq	さい	
sr	する	
su	す	
sw	せい	
sy;	しゅい	
sya	しゃ	
syd	しぇん	
sye	しぇ	
syh	しゅう	
syi	しぃ	
syj	しゅん	
syk	しぃん	
syl	しょん	
syn	しゃん	
syo	しょ	
syp	しょう	
syq	しゃい	
syu	しゅ	
syw	しぇい	
syz	しゃん	
sz	さん	
t		t
t;	つい	
ta	た	
td	てん	
te	て	
tg;	ちゅい	
tg;	とぅい	
tga	ちゃ	
tgd	ちぇん	
tgd	てゅん	
tge	ちぇ	
tge	てゅ	
tgh	ちゅう	
tgh	とぅー	
tgi	ちぃ	
tgi	てぃ	
tgj	ちゅん	
tgj	とぅん	
tgk	ちぃん	
tgk	てぃん	
tgl	ちょん	
tgn	ちゃん	
tgo	ちょ	
tgp	ちょう	
tgq	ちゃい	
tgu	ちゅ	
tgu	とぅ	
tgw	ちぇい	
tgw	てゅい	
tgz	ちゃん	
th	つう	
ti	ち	
tj	つん	
tk	ちん	
tl	とん	
tn	たん	
to	と	
tp	とう	
tq	たい	
tu	つ	
tw	てい	
ty;	ちゅい	
tya	ちゃ	
tyd	ちぇん	
tye	ちぇ	
tyh	ちゅう	
tyi	ちぃ	
tyj	ちゅん	
tyk	ちぃん	
tyl	ちょん	
tyn	ちゃん	
tyo	ちょ	
typ	ちょう	
tyq	ちゃい	
tyu	ちゅ	
tyw	ちぇい	
tyz	ちゃん	
tz	たん	
u	う	
v		v
v;	ヴい	
va	ヴぁ	
vd	ヴぇん	
ve	ヴぇ	
vh	ヴー	
vi	ヴぃ	
vj	ヴん	
vk	ヴぃん	
vl	ヴぉん	
vn	ヴぁん	
vo	ヴぉ	
vp	ヴぉー	
vq	ヴぁい	
vu	ヴ	
vw	ヴぇい	
vz	ヴぁん	
w		w
w;	うい	
wa	わ	
wd	うぇん	
we	うぇ	
wh	うう	
wi	うぃ	
wj	うん	
wk	うぃん	
wl	をん	
wn	わん	
wo	を	
wp	うぉー	
wq	わい	
wsl	うぉん	
wso	うぉ	
wsp	うぉー	
wu	う	
ww	うぇい	
wz	わん	
x		x
x;	しゅい	
xa	しゃ	
xd	しぇん	
xe	しぇ	
xh	しゅう	
xi	しぃ	
xj	しゅん	
xk	しぃん	
xl	しょん	
xn	しゃん	
xo	しょ	
xp	しょう	
xq	しゃい	
xu	しゅ	
xw	しぇい	
xz	しゃん	
y		y
y;	ゆい	
ya	や	
yd	ゑん	
ye	ゑ	
yh	ゆう	
yi	ゐ	
yj	ゆん	
yk	ゐん	
yl	よん	
yn	やん	
yo	よ	
yp	よう	
yq	やい	
yu	ゆ	
yw	ゑい	
yz	やん	
z		z
z;	ずい	
za	ざ	
zd	ぜん	
ze	ぜ	
zg;	じゅい	
zga	じゃ	
zgd	じぇん	
zge	じぇ	
zgh	じゅう	
zgi	じぃ	
zgj	じゅん	
zgk	じぃん	
zgl	じょん	
zgn	じゃん	
zgo	じょ	
zgp	じょう	
zgq	じゃい	
zgu	じゅ	
zgw	じぇい	
zgz	じゃん	
zh	ずう	
zi	じ	
zj	ずん	
zk	じん	
zl	ぞん	
zn	ざん	
zo	ぞ	
zp	ぞう	
zq	ざい	
zu	ず	
zw	ぜい	
zy;	じゅい	
zya	じゃ	
zyd	じぇん	
zye	じぇ	
zyh	じゅう	
zyi	じぃ	
zyj	じゅん	
zyk	じぃん	
zyl	じょん	
zyn	じゃん	
zyo	じょ	
zyp	じょう	
zyq	じゃい	
zyu	じゅ	
zyw	じぇい	
zyz	じゃん	
zz	ざん	
っa	った	
っe	って	
っi	っち	
っo	っと	
っu	っつ	
